,STATION,LATITUDE,LONGITUDE,County,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMIN,vpdmin (hPa),vpdmax (hPa)
0,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-01-31,,0.13483870967741934,0.5,1.7419354838709677,18.364516129032257,8.69032258064516,0.3709677419354839,2.9051612903225807
1,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-02-29,,0.12862068965517243,0.47586206896551725,8.96551724137931,23.593103448275862,12.53103448275862,0.2203448275862069,3.3475862068965516
2,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-03-31,,0.1361290322580645,0.46774193548387094,1.4838709677419355,36.096774193548384,24.629032258064516,0.36548387096774193,6.983870967741935
3,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-04-30,,0.22766666666666666,0.0,0.0,42.43666666666666,32.81333333333333,0.34400000000000003,7.498
4,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-05-31,,0.13419354838709677,0.0,0.0,53.641935483870974,42.23870967741936,0.4358064516129032,12.307096774193548
5,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-06-30,,0.196,0.0,0.0,62.31333333333334,50.526666666666664,0.252,15.529666666666666
6,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-07-31,,0.17129032258064517,0.0,0.0,64.46774193548387,53.225806451612904,0.17548387096774196,15.334516129032258
7,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-08-31,,0.07419354838709677,0.0,0.0,63.89354838709678,52.78064516129032,0.020967741935483872,13.51258064516129
8,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-09-30,,0.10466666666666667,0.0,0.0,56.913333333333334,44.54666666666667,0.10633333333333334,11.651666666666667
9,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-10-31,,0.10612903225806451,0.03225806451612903,0.0,46.667741935483875,34.50645161290323,0.16999999999999998,9.595161290322581
10,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-11-30,,0.105,0.016666666666666666,0.03333333333333333,36.75666666666667,28.623333333333335,0.2796666666666667,4.544
11,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-12-31,,0.15741935483870967,0.5333333333333333,1.3548387096774193,20.206451612903226,10.229032258064517,0.25548387096774194,2.7329032258064516
12,USC00270913,43.25886,-72.0021,Merrimack,248.4,2001-01-31,,0.04225806451612903,0.20967741935483872,7.451612903225806,20.01290322580645,9.025806451612903,0.20580645161290323,2.6583870967741934
13,USC00270913,43.25886,-72.0021,Merrimack,248.4,2001-02-28,,0.11964285714285715,1.0535714285714286,11.607142857142858,21.957142857142856,10.328571428571427,0.2639285714285714,3.3632142857142857
14,USC00270913,43.25886,-72.0021,Merrimack,248.4,2001-03-31,,0.26870967741935486,1.8709677419354838,25.451612903225808,27.94193548387097,18.641935483870967,0.2990322580645161,4.15
15,USC00270913,43.25886,-72.0021,Merrimack,248.4,2001-04-30,,0.026666666666666665,0.01,15.766666666666667,41.56666666666667,28.71333333333333,0.4596666666666666,10.459666666666667
16,USC00270913,43.25886,-72.0021,Merrimack,248.4,2001-05-31,,0.03387096774193549,0.0,0.0,55.774193548387096,42.04516129032258,0.3274193548387097,16.773548387096774
17,USC00270913,43.25886,-72.0021,Merrimack,248.4,2001-06-30,,0.23066666666666666,0.0,0.0,64.45,51.95666666666667,0.12533333333333335,17.727666666666668
18,USC00270913,43.25886,-72.0021,Merrimack,248.4,2001-07-31,,0.14193548387096774,0.0,0.0,65.00322580645162,52.11612903225806,0.15129032258064518,18.317741935483873
19,USC00270913,43.25886,-72.0021,Merrimack,248.4,2001-08-31,,0.034516129032258064,0.0,0.0,69.46451612903226,56.39677419354839,0.25516129032258067,21.137096774193548
20,USC00270913,43.25886,-72.0021,Merrimack,248.4,2001-09-30,,0.19899999999999998,0.0,0.0,58.586666666666666,44.84666666666667,0.041,14.384333333333332
21,USC00270913,43.25886,-72.0021,Merrimack,248.4,2001-10-31,,0.026774193548387094,0.0,0.0,48.42258064516129,34.78387096774193,0.24,11.241612903225807
22,USC00270913,43.25886,-72.0021,Merrimack,248.4,2001-11-30,,0.05733333333333333,0.0,0.0,39.16,28.36,0.269,6.102
23,USC00270913,43.25886,-72.0021,Merrimack,248.4,2001-12-31,,0.09,0.1774193548387097,0.7741935483870968,31.287096774193547,21.741935483870968,0.20032258064516129,4.085806451612903
24,USC00270913,43.25886,-72.0021,Merrimack,248.4,2002-01-31,,0.0661290322580645,0.532258064516129,4.354838709677419,27.9741935483871,18.925806451612903,0.22870967741935483,3.5651612903225804
25,USC00270913,43.25886,-72.0021,Merrimack,248.4,2002-02-28,,0.10392857142857144,0.19642857142857142,3.642857142857143,25.789285714285715,14.339285714285714,0.22,4.037857142857143
26,USC00270913,43.25886,-72.0021,Merrimack,248.4,2002-03-31,,0.15354838709677418,0.46774193548387094,2.3548387096774195,31.82903225806452,22.61935483870968,0.3287096774193548,4.866451612903226
27,USC00270913,43.25886,-72.0021,Merrimack,248.4,2002-04-30,,0.14566666666666667,0.13333333333333333,0.14285714285714285,45.72666666666667,33.96333333333333,0.511,11.315
28,USC00270913,43.25886,-72.0021,Merrimack,248.4,2002-05-31,,0.16709677419354838,0.03225806451612903,0.0,51.96451612903226,40.40967741935484,0.8738709677419355,13.509032258064515
29,USC00270913,43.25886,-72.0021,Merrimack,248.4,2002-06-30,,0.21733333333333335,0.0,0.0,61.86666666666667,50.086666666666666,0.25533333333333336,15.356
30,USC00270913,43.25886,-72.0021,Merrimack,248.4,2002-07-31,,0.05548387096774193,0.0,0.0,68.85806451612903,56.75483870967742,0.3032258064516129,19.26290322580645
31,USC00270913,43.25886,-72.0021,Merrimack,248.4,2002-08-31,,0.08935483870967742,0.0,0.0,69.73548387096774,56.33548387096774,0.3783870967741936,24.245806451612903
32,USC00270913,43.25886,-72.0021,Merrimack,248.4,2002-09-30,,0.10433333333333333,0.0,0.0,61.943333333333335,49.39666666666667,0.20166666666666666,15.772333333333334
33,USC00270913,43.25886,-72.0021,Merrimack,248.4,2002-10-31,,0.13387096774193546,0.1774193548387097,0.1935483870967742,45.20322580645161,35.119354838709675,0.2719354838709677,7.226774193548387
34,USC00270913,43.25886,-72.0021,Merrimack,248.4,2002-11-30,,0.18966666666666665,0.48333333333333334,2.566666666666667,34.14333333333333,26.28666666666667,0.19566666666666668,3.8983333333333334
