,STATION,LATITUDE,LONGITUDE,County,ELEVATION,DATE,PRCP,SNOW,SNWD,AWND,vpdmin (hPa),vpdmax (hPa),TAVG,TMAX,TMIN,RH
0,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-07-05,1.31,0.0,0.0,5.322,0.292,17.106,67.4,77.84,56.98,44.8
1,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-07-12,0.07,0.0,0.0,4.888571428571429,0.6028571428571429,15.454285714285714,65.88571428571429,76.12857142857142,55.628571428571426,35.642857142857146
2,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-07-19,0.02,0.0,0.0,4.6971428571428575,0.9528571428571428,25.259999999999998,73.5,86.04285714285713,60.94285714285714,36.857142857142854
3,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-07-26,1.15,0.0,0.0,4.474285714285714,0.4614285714285714,21.400000000000002,70.82857142857144,82.8,58.885714285714286,42.964285714285715
4,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-08-02,0.25,0.0,0.0,6.038571428571429,0.71,21.110000000000003,67.75714285714285,80.07142857142857,55.44285714285714,42.57142857142857
5,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-08-09,0.34,0.0,0.0,2.94,0.32,21.885714285714283,70.88571428571429,83.32857142857142,58.42857142857143,49.964285714285715
6,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-08-16,1.03,0.0,0.0,5.177142857142857,0.2357142857142857,16.015714285714285,69.01428571428572,79.48571428571428,58.57142857142857,39.392857142857146
7,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-08-23,0.19,0.0,0.0,3.5785714285714287,0.36,16.102857142857143,65.98571428571428,77.91428571428571,54.028571428571425,35.214285714285715
8,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-08-30,0.76,0.0,0.0,4.218571428571429,0.21714285714285714,19.697142857142858,70.68571428571428,82.02857142857144,59.371428571428574,37.785714285714285
9,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-09-06,0.45,0.0,0.0,4.444285714285714,0.3657142857142857,18.46857142857143,63.58571428571429,76.39999999999999,50.75714285714286,30.464285714285715
10,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-09-13,0.49,0.0,0.0,5.434285714285714,0.3657142857142857,15.14,61.34285714285714,72.81428571428572,49.885714285714286,42.892857142857146
11,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-09-20,0.57,0.0,0.0,4.347142857142857,0.23142857142857146,15.932857142857143,62.44285714285714,74.85714285714286,50.042857142857144,49.035714285714285
12,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-09-27,0.57,0.0,0.0,4.601428571428571,0.09428571428571429,12.741428571428571,58.528571428571425,71.1,45.98571428571428,27.535714285714285
13,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-10-04,0.21000000000000002,0.0,0.0,6.615714285714286,0.4414285714285714,12.704285714285714,54.31428571428571,67.37142857142858,41.271428571428565,33.964285714285715
14,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-10-11,2.78,0.0,0.0,6.264285714285713,0.17142857142857143,7.7942857142857145,49.214285714285715,59.542857142857144,38.9,63.392857142857146
15,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-10-18,1.2100000000000002,0.0,0.0,5.497142857142856,0.34142857142857147,6.3585714285714285,50.07142857142857,57.771428571428565,42.4,31.75
16,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-10-25,0.0,0.0,0.0,7.99,0.8585714285714285,12.965714285714286,49.5,62.25714285714285,36.74285714285714,53.714285714285715
